lambda_nm,txx,txy,tyx,tyy
545.9999999999999,(0.4480839195900849-0.054387314680837795j),(0.03947838625641996-0.1044334828566358j),(0.03792547738147699-0.10210249350731371j),(0.5050874434347754-0.285896484732566j)
547.0,(0.4523038745897601-0.06279958765470399j),(0.03487260992939431-0.10558465300586864j),(0.03340833586884081-0.10324455324407693j),(0.49905252913545106-0.2967910232604357j)
548.0,(0.45641193399718394-0.07169683514266138j),(0.030262361705126535-0.1064458707958613j),(0.028875071590371833-0.10410270566138818j),(0.49283108230546796-0.3075691256230601j)
549.0,(0.46036043474667565-0.08107556073577155j),(0.02566230249267872-0.10702722639296573j),(0.024345181264170658-0.10467622753478042j),(0.48640542046487706-0.31823827230585305j)
549.9999999999999,(0.46410468848549963-0.09092895871557916j),(0.02108460117898316-0.10732744083318321j),(0.019840826432774225-0.1049646038295335j),(0.4797595761053136-0.3287843132255062j)
551.0,(0.46760122520274905-0.10124841134559373j),(0.016552501901785466-0.10734055615886323j),(0.015386985756155476-0.10497030343760243j),(0.47289736759114204-0.33918642808327193j)
552.0,(0.47080582370857754-0.11202283106803705j),(0.012098932772062107-0.10707085873881017j),(0.011009483470576738-0.10470082745563153j),(0.4658354991775138-0.3494389013589677j)
552.9999999999999,(0.47367301168358766-0.12323648614860523j),(0.007752208083972798-0.10653720308127834j),(0.006732121821314557-0.10416878475294358j),(0.4585813776682161-0.3595528492571769j)
554.0,(0.4761576647000819-0.134866948156796j),(0.0035265744558638373-0.1057617372380818j),(0.0025745819501450627-0.10339003015988384j),(0.4511233655111895-0.3695367629449635j)
555.0,(0.4782179266435604-0.1468846936888697j),(-0.0005713657382108394-0.10475718826737854j),(-0.001447838141372981-0.10238103360859936j),(0.4434447628802866-0.3793803514748329j)
556.0,(0.47981782754728247-0.1592548126143681j),(-0.00452899164832094-0.10352789092178269j),(-0.0053227441672740045-0.101156980516352j),(0.43554378204239724-0.3890609849217138j)
556.9999999999999,(0.48092819065765796-0.17193995729288752j),(-0.008323635036212416-0.10208249227781609j),(-0.009038509047196783-0.09973152791276092j),(0.427435511620102-0.39856415354509556j)
558.0,(0.4815255036860707-0.18490294916036543j),(-0.011932712513427488-0.10044241559414001j),(-0.012582822691169311-0.09811809162524555j),(0.4191343703672085-0.4078931942710803j)
559.0,(0.4815896588745566-0.19810775225009117j),(-0.015345486402504027-0.09863594792253139j),(-0.01594273317826938-0.09633167333090915j),(0.4106385676753291-0.417057388352851j)
559.9999999999999,(0.4811020776824525-0.21151858952837516j),(-0.01856254806476129-0.09668525623035659j),(-0.019106045337418286-0.0943900256796435j),(0.40193467130300636-0.4260533622973766j)
561.0,(0.48004539080982983-0.22509812148147404j),(-0.021584130678213742-0.09460160589037046j),(-0.022063178610033516-0.09231344347123466j),(0.3930161158322284-0.43486177621935407j)
562.0,(0.47840480759013687-0.23880612877091387j),(-0.024401314475193035-0.09239380522931165j),(-0.02480840430623587-0.09012330488999828j),(0.38389366872349157-0.44346255175187405j)
563.0,(0.4761702454398715-0.2525997628203485j),(-0.027000186803719853-0.09007934269999582j),(-0.02733981631605179-0.08784016598130136j),(0.37458615723886-0.4518504417723607j)
564.0,(0.47333783846986766-0.2664354278081798j),(-0.02937362024560509-0.0876850383933864j),(-0.029658129048791764-0.08548237987674014j),(0.365102841627457-0.4600332230243666j)
565.0,(0.4699098383119746-0.28027136497819877j),(-0.0315267963837553-0.08523661205501752j),(-0.03176500417645236-0.08306583904977621j),(0.3554377454031149-0.46801534923131255j)
565.9999999999999,(0.46589287923402534-0.29406961060184256j),(-0.03347026431412731-0.08274922699476565j),(-0.033661773133958746-0.08060478991227411j),(0.3455817939360389-0.47578616167191345j)
566.9999999999999,(0.46129551013831493-0.3077963920549277j),(-0.035208635941707526-0.08022949291052896j),(-0.03534911163052453-0.07811312330573718j),(0.33553835526967574-0.48332573826786096j)
568.0000000000001,(0.45612625983708427-0.3214209376004184j),(-0.03673754836568706-0.07768614999589282j),(-0.03682765867250252-0.07560537657439378j),(0.32532463947438967-0.4906211745823504j)
569.0,(0.45039312403027965-0.33491354859802014j),(-0.03805175271663666-0.07513714901323106j),(-0.03809908212127426-0.0730969329556282j),(0.3149578831341813-0.49767483388885764j)
569.9999999999999,(0.4441045054266388-0.3482441210511259j),(-0.03915474241621156-0.072605423311695j),(-0.03916692032492555-0.07060338944856454j),(0.30444206207856866-0.5044957590788212j)
570.9999999999999,(0.4372708209411873-0.36138194887590025j),(-0.04005908171551829-0.07010849092244477j),(-0.04003672307050938-0.06813950592996668j),(0.29376961042188277-0.511084249862605j)
572.0,(0.4299056724951518-0.3742968405764779j),(-0.04077729640501126-0.06765359428874763j),(-0.04071543013072653-0.0657183267973338j),(0.28293567404171616-0.5174265934155604j)
573.0,(0.422025806887196-0.38696081607001587j),(-0.041313525449817194-0.0652435580546661j),(-0.041210325089880526-0.0633509247201581j),(0.27194899967946806-0.5235052076894255j)
573.9999999999999,(0.41364983779666886-0.3993493501030416j),(-0.04166491443724883-0.0628866992024222j),(-0.041528088617663585-0.06104686433514312j),(0.2608278888045094-0.5293126658117423j)
575.0,(0.4047964221049115-0.41144143233825864j),(-0.04183087928986781-0.060600011043162205j),(-0.04167438283326353-0.05881512077392652j),(0.2495861153451267-0.5348544352530625j)
576.0,(0.3954828718497008-0.42321841446220454j),(-0.04182001230250258-0.05840247035886131j),(-0.0416541051289283-0.05666499162814424j),(0.2382241557691655-0.540137816565793j)
576.9999999999999,(0.3857249059487012-0.43466229709925036j),(-0.04164731501511103-0.05630595817053346j),(-0.04147211991167445-0.054606585941663434j),(0.22673480960217596-0.5451592503836201j)
578.0,(0.3755375881434903-0.44575439550419377j),(-0.041324966294857504-0.05431352173115425j),(-0.04113407018285457-0.05265071113836502j),(0.21511679382704224-0.5499033556809246j)
579.0,(0.36493684335420734-0.4564750759946499j),(-0.04085651219680776-0.05242661196060251j),(-0.0406468698736027-0.05080827652005286j),(0.20338184325255917-0.5543542523697781j)
580.0,(0.3539406528838392-0.4668046380521628j),(-0.0402404092733402-0.050653491534829766j),(-0.040018660347462424-0.049089547281288816j),(0.1915481925334637-0.5585069473911592j)
580.9999999999999,(0.34256924053902926-0.4767247849415624j),(-0.03947891159456191-0.04901010169917144j),(-0.039258278830637046-0.047503627708193955j),(0.17962766166567373-0.5623669955925861j)
582.0,(0.3308441374606435-0.48621982134521374j),(-0.03858293519040216-0.047512809734809376j),(-0.03837450723248071-0.04605842399794079j),(0.16761984052763618-0.5659391442814251j)
583.0,(0.3187866264003923-0.49527688738487724j),(-0.03756803545714028-0.046170828954628915j),(-0.03737545483970121-0.04476110882101775j),(0.15551910051366033-0.5692168671157716j)
583.9999999999999,(0.30641638785806613-0.50388507041849j),(-0.03644590938293602-0.04498615052108804j),(-0.03626835368133091-0.043618888823343735j),(0.1433269507638936-0.5721833167365282j)
585.0,(0.29375104483461956-0.5120338301599996j),(-0.03522023466400388-0.04396091049149571j),(-0.035059856475609684-0.042639755938861296j),(0.13105718443755665-0.5748223124477966j)
586.0,(0.2808068177472239-0.5197115137541383j),(-0.033890978092495805-0.04310461107829451j),(-0.033756712412224645-0.04183292627732525j),(0.11872898467663431-0.5771279934470794j)
587.0,(0.26759992713375047-0.526904659701301j),(-0.03246267766922894-0.04243403044348389j),(-0.03236654691771428-0.04120881678476711j),(0.1063553426521129-0.5791035458682999j)
587.9999999999999,(0.2541480213018121-0.5335983536530015j),(-0.030948419196920617-0.041966197818549406j),(-0.030898445794191945-0.0407786115559034j),(0.09393850677913133-0.5807505988787519j)
588.9999999999999,(0.24047093479076892-0.5397773472014618j),(-0.029365809718369006-0.04171166567485177j),(-0.02936314606370435-0.040553640464336245j),(0.08147683314399098-0.5820600092236704j)
590.0000000000001,(0.22659046830283022-0.5454272714332081j),(-0.027729288905910567-0.04167475569977421j),(-0.027772818333041828-0.040544863473831794j),(0.0689761108313417-0.5830130004721338j)
590.9999999999999,(0.21252940904121717-0.5505352555396363j),(-0.02604658028262049-0.04186038037088825j),(-0.026140610974889348-0.04076269839996553j),(0.056454364332746046-0.5835912361135762j)
592.0,(0.19831040838027225-0.5550895917188106j),(-0.024322810897636618-0.04228063804310815j),(-0.02448023846821156-0.04121727333096943j),(0.0439358662829756-0.5837858437464746j)
593.0,(0.18395540773501878-0.5590785888623772j),(-0.0225683151057999-0.04295481258150469j),(-0.022805889550165992-0.04191899292587688j),(0.03144063644525373-0.5835968050700417j)
594.0,(0.16948603166599896-0.5624891718573878j),(-0.020802763663160438-0.04390294560259141j),(-0.021132608751201164-0.042879159544685234j),(0.018979807590388677-0.5830236686775502j)
595.0,(0.15492490044848747-0.5653059105484262j),(-0.0190520619583565-0.045139255574572976j),(-0.019477117854918607-0.04411034659152101j),(0.006561318261554187-0.5820567844660686j)
596.0,(0.14029739117157358-0.5675109547551832j),(-0.01734149744647041-0.046671562581059936j),(-0.017858869090932445-0.04562630050801707j),(-0.005799491816423496-0.5806774879235057j)
597.0,(0.12563320102216718-0.5690849283209457j),(-0.015692084881827516-0.04850692650091779j),(-0.016301032033311562-0.0474413166077868j),(-0.01807420047001659-0.5788670302740112j)
597.9999999999999,(0.11096721075409237-0.5700084139734762j),(-0.014123853154135129-0.05065777194823069j),(-0.014831148929002719-0.04956922142398133j),(-0.030225419275580243-0.5766159754457046j)
599.0,(0.09633952305753711-0.5702634471569432j),(-0.01266322469428631-0.05314239965039048j),(-0.013481334705097733-0.0520222204348279j),(-0.042216342776698106-0.5739257266786105j)
600.0,(0.08179496411846245-0.5698345253003403j),(-0.011347926224692844-0.055979073776228294j),(-0.012288087406355806-0.054809879546332006j),(-0.054016530488802894-0.5708014870617338j)
600.9999999999999,(0.06738258321820963-0.5687089736391587j),(-0.010225335466931223-0.059178695331232926j),(-0.011291929060284157-0.05793839510987628j),(-0.06559853116744642-0.567243944535471j)
601.9999999999999,(0.05315564990168883-0.5668769189801257j),(-0.009346273318360996-0.06274205557066591j),(-0.010537145143532236-0.06141011735531053j),(-0.07692855750800696-0.563248011212047j)
603.0,(0.03917235427541435-0.564331409728364j),(-0.008760255177073597-0.06666312169446519j),(-0.010071805185528788-0.06522310776905066j),(-0.08795981311356614-0.5588104074972752j)
604.0,(0.025497005898407792-0.5610692513023009j),(-0.00851656052160963-0.07093410316758347j),(-0.009948056107824205-0.06937041536003533j),(-0.09863455952068563-0.5539399818607927j)
604.9999999999999,(0.012201189244373025-0.5570928914120804j),(-0.008669884260289817-0.075546389340973j),(-0.010222458086742027-0.07383879949317236j),(-0.10889319952199603-0.548662514845876j)
606.0,(-0.0006357855059623301-0.5524132998621659j),(-0.00928496953160233-0.08048517554467652j),(-0.010955970471255586-0.0786068024583056j),(-0.11868273424497232-0.5430170049110434j)
607.0,(-0.012927658959218881-0.5470534138576637j),(-0.01043532384704678-0.08572118591725073j),(-0.012213162069259044-0.08364232390688878j),(-0.12795807944507978-0.5370480834323941j)
607.9999999999999,(-0.02458342843868587-0.5410515123664938j),(-0.012196059190846755-0.09120535631590192j),(-0.0140603361871847-0.08890008258282256j),(-0.13667659630985418-0.530802396313701j)
609.0000000000001,(-0.03551083041764593-0.5344639048288009j),(-0.014635558334433705-0.09686966195445214j),(-0.016562489591525478-0.09431948542310016j),(-0.14479253135913975-0.5243328920842254j)
610.0,(-0.04562070164636907-0.5273665255604748j),(-0.01781100831846507-0.10263205787971891j),(-0.019779288736980833-0.09982341608438577j),(-0.15225834797663246-0.517707633175029j)
611.0,(-0.05483176214473639-0.5198552940755071j),(-0.02176878448872057-0.10840042987447664j),(-0.02376046060715921-0.1053183147912627j),(-0.15903412774076423-0.5110154520866339j)
612.0,(-0.06307546733825058-0.5120452998590813j),(-0.026545974819936428-0.11407212629809892j),(-0.028541100081759863-0.11069570634608814j),(-0.16509950368585252-0.5043630666132525j)
613.0,(-0.07030074217070698-0.5040689185748867j),(-0.032168160728417605-0.11953042613303698j),(-0.03413737956145462-0.11583511998471106j),(-0.17046066373736818-0.49786493600498277j)
