lambda_nm,T_LL,T_LR,T_RL,T_RR
573.0,(0.347933719950586-0.45528461205968906j),(0.010741162216451855+0.1095341210795537j),(0.13933564499127607+0.027010270539855982j),(0.346041086616078-0.45518141169975235j)
573.9999999999999,(0.3381587807342287-0.4643994208671846j),(0.014444192727297064+0.10657815938180655j),(0.13837775626486237+0.023385156326894127j),(0.3363189458669496-0.4642625950475993j)
575.0,(0.32808371385963697-0.4732261820239627j),(0.017897587471348043+0.10345913251896761j),(0.13731271928843677+0.01995387039583628j),(0.3262988235904013-0.4730696855673584j)
576.0,(0.3177222531747917-0.48176106910078587j),(0.02109562704676489+0.10019675976750965j),(0.13616308903377045+0.016722642336078772j),(0.31598477444407463-0.48159516192721163j)
576.9999999999999,(0.3070795438898736-0.4899983712931535j),(0.024038776117164165+0.09680819410557762j),(0.13495132022936107+0.013688759178792143j),(0.3053801716610035-0.48982317618971694j)
578.0,(0.2961585962816609-0.49792432364856065j),(0.0267282807234644+0.09330399832722147j),(0.13369251359298367+0.010844961849509394j),(0.29449578568887164-0.4977334275365577j)
579.0,(0.2849685110236581-0.5055194853438165j),(0.029160055810496396+0.08969127922276932j),(0.13239494429115178+0.008187897152358847j),(0.28335017558310843-0.5053098430206115j)
580.0,(0.27352639483542196-0.5127666671846j),(0.03132471076712846+0.08598068947989952j),(0.13106774958324705+0.005721619859096902j),(0.27196245058188095-0.5125449182587222j)
580.9999999999999,(0.26185168809784026-0.5196562066490367j),(0.033213924732995066+0.08218970053811131j),(0.12972765414036047+0.003452510112912359j),(0.2603452141068628-0.5194355738851117j)
582.0,(0.24995918186257413-0.5261836967922802j),(0.03482653160012858+0.07833838267954712j),(0.12839776533287875+0.0013809402566642495j),(0.24850479612570556-0.5259752688343586j)
583.0,(0.2378577235238319-0.5323431675590439j),(0.03616779405554265+0.07444173501386792j),(0.1270997318311893-0.0005017552829735747j),(0.2364480033902207-0.5321505869416049j)
583.9999999999999,(0.225555300159852-0.5381229714283116j),(0.037242198874870375+0.0705062546911526j),(0.12584723821930216-0.0022080083731143285j),(0.2241880384621077-0.5379454157267065j)
585.0,(0.21306469191240532-0.5435082603980952j),(0.03804659698335295+0.06653428671370527j),(0.12464726341370996-0.0037458044259082862j),(0.2117435373597709-0.5433478822097011j)
586.0,(0.20040374361241375-0.5484868864407444j),(0.0385701478574849+0.0625320850988308j),(0.12350768521310466-0.005115605405889637j),(0.19913205881144447-0.5483526207604732j)
587.0,(0.18759024172229008-0.5530521681605578j),(0.0388008686266933+0.058514055376971096j),(0.12244371585494429-0.0063151692099721254j),(0.18636502806357327-0.5529560374090432j)
587.9999999999999,(0.17463705717179473-0.557199462967241j),(0.03873235257411396+0.054499555108431505j),(0.12147716194856677-0.007347309882681053j),(0.1734494709091487-0.5571494895645124j)
588.9999999999999,(0.1615528965726377-0.5609200100398984j),(0.038364397753794965+0.050505808902141j),(0.12062970389298297-0.008223146879932353j),(0.1603948713621222-0.5609173463852338j)
590.0000000000001,(0.14834823568005717-0.5641983712391053j),(0.03769736914894126+0.046543918138939024j),(0.11991698832254727-0.008958189100013371j),(0.14721834345411478-0.5642419006662366j)
590.9999999999999,(0.13504072767244296-0.5670162304804719j),(0.03672598296880866+0.04262158591572486j),(0.11934906173966245-0.00956560534178498j),(0.13394304570152027-0.5671102611727407j)
592.0,(0.12165481968769329-0.5693590039473552j),(0.03543831536160953+0.038749650696756094j),(0.11893622673568711-0.010053398669092082j),(0.12059145497555457-0.5695164315179301j)
593.0,(0.10821593191795018-0.5712189097440263j),(0.03382048289119174+0.03494621043181524j),(0.1186942883985733-0.010427994224150652j),(0.10718011226232235-0.5714564841883925j)
594.0,(0.0947448126571469-0.5725914977234486j),(0.03186205946416682+0.031234934617261997j),(0.11864416461144348-0.010700437797099602j),(0.09372102659924073-0.5729213428114893j)
595.0,(0.08125756384654681-0.5734688195589662j),(0.029556990010419656+0.02764002686545876j),(0.11880659217651364-0.010889152947816352j),(0.08022865486349484-0.5738938754555284j)
596.0,(0.06777158071409647-0.5738355355171135j),(0.02689950994946004+0.02418344985286268j),(0.11919737303853704-0.011016916684540176j),(0.0667263186410536-0.5743529071615755j)
597.0,(0.05431230522264079-0.5736715057217364j),(0.023879579191739594+0.02088760943410229j),(0.11982782230044418-0.011105507481036787j),(0.0532466953295098-0.5742804528732205j)
597.9999999999999,(0.04091517100138074-0.5729585468221567j),(0.020482818328730293+0.01778128177768313j),(0.12070981170094232-0.01117372030545472j),(0.03982662047713138-0.5736658425970242j)
599.0,(0.027621679748200793-0.5716855319123713j),(0.016695622874508417+0.014903419460525678j),(0.12186024295972679-0.011241139938858367j),(0.026501500532638212-0.5725036419231826j)
600.0,(0.01447381392977792-0.5698479255902056j),(0.01251127064235251+0.012301487696221098j),(0.12330022396491282-0.01133452593482755j),(0.013304619699881632-0.5707880867718687j)
600.9999999999999,(0.0015121761360599277-0.5674431622906384j),(0.007932011972273417+0.010026117711763824j),(0.12504910241338263-0.011491146815451556j),(0.0002718759147032797-0.5685097558839913j)
601.9999999999999,(-0.01122048469548138-0.5644670291835008j),(0.0029660172418596725+0.00812725534690728j),(0.1271181901678361-0.011756163114985951j),(-0.012552422910836757-0.565657901008672j)
603.0,(-0.02367372245636863-0.5609151336085919j),(-0.0023770310372676906+0.006655529065756758j),(0.12950919842624817-0.012176531296845625j),(-0.025113736381783158-0.5622266836170472j)
604.0,(-0.03578693290736484-0.5567888687884396j),(-0.008086476554262687+0.005667673593962839j),(0.13221804197335613-0.012796943035470996j),(-0.03735062071491299-0.558220364374654j)
604.9999999999999,(-0.04749221021491118-0.5521014162157521j),(-0.014145400033888159+0.005230982890413733j),(0.13523978880025722-0.013661359456618111j),(-0.049199800062711824-0.5536539900422043j)
606.0,(-0.058720073332281866-0.546879651916778j),(-0.020522514631986073+0.005422322525867714j),(0.13856946337099607-0.0148186174769902j),(-0.06059844641865278-0.5485506528564312j)
607.0,(-0.06940343819696836-0.5411618295339228j),(-0.0271665446691393+0.006321577745518097j),(0.1421969651550002-0.01632690817078773j),(-0.0714823002073303-0.542939667756135j)
607.9999999999999,(-0.07947737550773035-0.5349948158419284j),(-0.03400613551377809+0.008003639662619286j),(0.1460993033849464-0.01825275571541217j),(-0.08178264924080972-0.5368590928382664j)
609.0000000000001,(-0.08887659262271685-0.5284349328279673j),(-0.040953723218029245+0.010533517590691838j),(0.15023542415952307-0.020664530335267346j),(-0.09142676915406883-0.530361864085059j)
610.0,(-0.09753520391383419-0.5215529391584941j),(-0.04790891381692065+0.013965702335000045j),(0.15454656014718404-0.02362459472044586j),(-0.10034384570916732-0.5235212195770098j)
611.0,(-0.10539188740114334-0.5144395350218512j),(-0.054758189534855756+0.01834470155350328j),(0.15896055513088359-0.0271845435423765j),(-0.10847400248435728-0.5164312111402899j)
612.0,(-0.11239927553604617-0.5072066206052552j),(-0.061371898148292546+0.023702420827933723j),(0.16339593449589448-0.03138465407376256j),(-0.11577569548805694-0.5092017458670786j)
613.0,(-0.11853304987987462-0.49998231787341624j),(-0.06760281227554342+0.030050778859984167j),(0.16776273384220464-0.036254761429888066j),(-0.12222835602820054-0.5019515367064532j)
